Les étudiant(e)s d'informatiques face à la situation sanitaire																																				
Détails de la soumission																																				
Séquentiel	Vous êtes 	En quelle année êtes-vous ?	Dans quelle filière étudiez-vous ?	Vous sentez-vous épanoui(e) dans vos études ?	Avez-vous ressenti une baisse de motivation au cours de ces derniers mois ?	Avez-vous ressenti l'envie d'arrêter vos études? 	Avez-vous consulté un(e) psychologue ou un(e) psychiatre suite à des difficultés liées à la situation sanitaire ?	Si vous-même demain, étiez concerné(e) par l’apparition d’un trouble mental, et que vous ressentiez le besoin de consulter et d’être pris(e) en charge, sauriez-vous à qui vous adresser ?	Vous sentez-vous isolé(e) socialement ?	Selon vous, le bien-être des étudiant(e)s est-il mis de côté ? 	Un sentiment de nervosité, d’anxiété ou de tension	Une tendance à être facilement contrarié(e) ou irritable	Des difficultés à se détendre	Une inquiétude excessive à propos de différentes choses	Une incapacité à arrêter de s’inquiéter ou à contrôler ses inquiétudes	Une agitation telle qu’il est difficile de tenir en place	Un sentiment de peur comme si quelque chose de terrible risquait de se produire	Vous sentir fatigué(e) ou avoir peu d’énergie 	Difficultés à vous endormir, à rester endormi ou trop dormir	Vous sentir triste, déprimé(e) ou désespéré(e)	Avoir peu d'appétit ou trop d'appétit	Peu d'intérêt ou de plaisir à faire les choses	Mauvaise perception de vous-même, vous pensez que vous êtes un(e) perdant(e) ou que vous n'avez pas satisfait vos propres attentes ou celles de votre famille	Difficultés à vous concentrer sur des choses telles que lire le journal ou regarder la télévision	Vous bougez ou vous parlez si lentement que les autres personnes ont pu le remarquer. Ou, au contraire, vous êtes si agité(e) que vous bougez beaucoup plus que d'habitude	Vous avez pensé que vous seriez mieux mort(e) ou vous avez pensé à vous blesser d'une façon ou d'une autre	Considérez-vous que les modalités d’enseignement actuelles permettent une formation correcte ?	Des remarques par rapport aux méthodes d'enseignement actuelles ?	Des pistes pour l'amélioration des méthodes d'enseignement ?	Etes-vous favorable à une réouverture des facultés et des amphithéâtres ?	Si les facs réouvraient 1 jour par semaine, seriez-vous en mesure de vous rendre en cours en présentiel ? 	Avez-vous dû changer de logement à cause de la situation sanitaire ?	Vous pouvez nous écrire un témoignage concernant votre logement ici	Avez-vous bénéficié d'une aide alimentaire avant le premier confinement ?	Avez-vous eu besoin d'une aide alimentaire depuis le début de la crise sanitaire ?	Si vous souhaitez nous laisser un petit mot ou témoigner de votre situation pour que l'on puisse le remonter aux enseignant(e)s, c'est ici :
1	Un homme	M2	Informatique	4	Oui un peu	Oui	Non	Oui, tout à fait	Non pas trop	Oui plutôt	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Mes voisins du dessous regardent la télé fort à une heure du matin : un bonheur.	Non	Non	Merci les cop.ine.ain.s : très bon formulaire ! Du courage et des bisous ! 
2	Un homme	L1	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Non pas du tout	Non pas du tout	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
3	Un homme	M2	Informatique	5	Oui beaucoup	Non	Non	Oui, tout à fait	Non pas trop	Oui plutôt	Plusieurs jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Oui plusieurs fois	Impossible de se confiner dans 15m2	Non	Non	
4	Un homme	L2	Math-info	4	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
5	Un homme	L1	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Oui plutôt			Non	Oui	Non		Non	Non	
6	Ne souhaite pas répondre	L1	Informatique	2	Oui un peu	Ne souhaite pas répondre	Non	Oui, à peu près	Oui beaucoup	Oui plutôt	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Ne souhaite pas répondre	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Plusieurs jours	Non pas trop			Non	Ne souhaite pas répondre	Non		Non	Non	
7	Une femme	L2	Informatique	4	Oui beaucoup	Oui	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Jamais	Jamais	Jamais	Plus de la moitié du temps	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Non	
8	Un homme	L1	Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Non pas trop	Oui beaucoup	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Jamais	Jamais	Jamais	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Presque tous les jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Jamais	Non pas du tout			Oui pour la totalité des cours	Oui	Non	J’habite actuellement chez mes parents, je ne suis pas vraiment à plaindre contrairement à certains étudiants qui eux vivent seules	Non	Non	
9	Un homme	L3	Informatique	2	Oui beaucoup	Non	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plus de la moitié du temps	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop			Non	Ne sait pas encore	Non		Non	Non	
10	Un homme	M1	Informatique	3	Oui beaucoup	Non	Non	Non, plutot pas	Non pas trop	Oui beaucoup	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Plusieurs jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
